piece_a,piece_b,makam,usul,feature_diff
karcigar--sazsemaisi--aksaksemai----resat_aysu,karcigar--turku--nimsofyan--ahu_gozlerini--kirsehir,karcigar,aksaksemai,0.909218006997507
kurdilihicazkar--sazsemaisi--aksaksemai----haydar_tatliyay,cargah--turku--aksak--bir_tepeden--mugla-milas,kurdilihicazkar,aksaksemai,-0.5537755925433685
kurdilihicazkar--sazsemaisi--aksaksemai----tatyos_efendi,cargah--turku--raksaksagi--kayanin_bedenleri--beypazari,kurdilihicazkar,aksaksemai,1.0340618985500671
kurdilihicazkar--sazsemaisi--aksaksemai----yalcin_tura,huseyni--turku--aksak--yuce_dag--sadettin_kaynak,kurdilihicazkar,aksaksemai,-0.17840928322483007
kurdilihicazkar--sazsemaisi--aksaksemai--sonbahar--coskun_acikgoz,cargah--turku--senginsemai--sak_sak--yurdagul_ulgar,kurdilihicazkar,aksaksemai,-1.146935708898405
lalegul--sazsemaisi--tekvurus----rustu_eric,huseyni--turku--curcuna--sinemde_bir--,lalegul,tekvurus,0.2577415782440864
mahur--sazsemaisi--aksaksemai----gazi_giray_han,mahur--turku--aksak--setiremin_dugmeleri--istanbul,mahur,aksaksemai,0.26496896024217986
mahur--sazsemaisi--aksaksemai----nikolaki,mahur--turku--iki-bir--felek_sen--abdullah_balak,mahur,aksaksemai,0.15128112547139727
mahur--sazsemaisi--aksaksemai----refik_talat_alpman,mahur--turku--kapali_curcuna--indim_yarin--,mahur,aksaksemai,0.4235275734131734
mahur--sazsemaisi--aksaksemai--bahar_1--goksel_baktagir,mahur--turku--kapali_curcuna--meclisinde_mail--adiyaman,mahur,aksaksemai,-0.22476083540707714
muberka--sazsemaisi--aksaksemai----,cargah--turku--sofyan--dere_kenarinda--rakim_elkutlu,muberka,aksaksemai,0.6169804946526154
muhayyer--sazsemaisi--aksaksemai----tanburi_cemil_bey,muhayyer--turku--aksak--serenler--burdur,muhayyer,aksaksemai,0.4675110627262853
muhayyerkurdi--sazsemaisi--aksaksemai----sadi_isilay,muhayyerkurdi--turku--aksak--bulbulum_altin--,muhayyerkurdi,aksaksemai,0.5849034424451138
mustear--sazsemaisi--aksaksemai----irtical_dede,dugah--turku--evfer--aksarayda_cevirdiler--,mustear,aksaksemai,-0.1783787287867491
neva--sazsemaisi--aksaksemai----kantemiroglu,neva--turku--nimsofyan--ankaranin_tasina--ankara,neva,aksaksemai,-0.06705227076218279
neva--sazsemaisi--aksaksemai----yusuf_ziya_pasa,neva--turku--sofyan--canakkale_icinde--,neva,aksaksemai,0.48145346250521626
neveser--sazsemaisi--aksaksemai----bekir_sitki_sezgin,neveser--turku--aksak--ferayi--,neveser,aksaksemai,-0.05001885744354562
neveser--sazsemaisi--aksaksemai----kanuni_omer_efendi,gerdaniye--turku--aksak--antalyanin_mor--antalya,neveser,aksaksemai,0.3437170864572978
neveser--sazsemaisi--aksaksemai----yusuf_pasa,huseyni--turku--sofyan--kina_mi--nuri_halil_poyraz,neveser,aksaksemai,0.7368219599771433
neveser--sazsemaisi--aksaksemai--1--necdet_yasar,gerdaniye--turku--aksak--asagidan_gelen--bilecik,neveser,aksaksemai,-1.2920078184360035
nigar--sazsemaisi--aksaksemai----tanburi_reftar_kalfa,gerdaniye--turku--aksak--cemilemin_gezdigi--,nigar,aksaksemai,0.35470731312169756
nihavent--sazsemaisi--aksaksemai----mesut_cemil,nihavent--turku--agir_aksaksemai--bir_ates_ver--,nihavent,aksaksemai,-0.46149625295981234
nihavent--sazsemaisi--aksaksemai----refik_fersan,nihavent--turku--aksak--evlerinin_onu--muzaffer_sarisozen,nihavent,aksaksemai,-0.07198766925724032
nihavent--sazsemaisi--aksaksemai----vecdi_seyhun,nihavent--turku--azeriyuruksemai--aman_avci--,nihavent,aksaksemai,-0.0013159219195264527
nihavent--sazsemaisi--senginsemai----erzurumlu_hasib_dede,nihavent--turku--nimsofyan--uskudara_gider--,nihavent,senginsemai,0.9572777779882802
nikriz--sazsemaisi--aksaksemai----refik_fersan,nikriz--turku--ciftesofyan--penceresi_yola--,nikriz,aksaksemai,0.4332486292272826
nisaburek--sazsemaisi--aksaksemai----munir_mazhar_kamsoy,nisaburek--turku--aksak--fincani_tastan--,nisaburek,aksaksemai,-0.48782220621026096
pesendide--sazsemaisi--aksaksemai----iii_selim,pesendide--turku--sofyan--samavir_kuydum--,pesendide,aksaksemai,0.7003194841410012
rast--sazsemaisi--aksaksemai----benli_hasan_aga,rast--turku--devrihindi--deryalar--rumeli,rast,aksaksemai,-0.21974569702888513
rast--sazsemaisi--aksaksemai----kantemiroglu,rast--turku--devrituran--oynayin_kiz--trabzon,rast,aksaksemai,0.2472949140429732
rengidil--sazsemaisi--aksaksemai----AHSU1967,tahir--turku--devrihindi--yoru_bire--sarkisla,rengidil,aksaksemai,-0.14874894369969027
